year (AD),d18O (permil)
1467.20875064,-54.32
1461.85072184,-54.56
1456.7067125,-53.06
1452.67466354,-53.4
1448.861536,-53.22
1445.94228434,-54.81
1441.22047256,-52.89
1436.4911285,-54.2
1432.88276306,-54.91
1429.27002514,-55.31
1425.65291474,-55.02
1422.25790264,-55.72
1420.6722485,-57.55
1416.59100914,-57.26
1410.23141506,-56.65
1407.0465965,-56.96
1402.26309176,-54.67
1397.70037016,-54.22
1393.81668514,-54.63
1389.928064,-55.65
1385.80532024,-54.02
1382.36547314,-53.94
1378.92178304,-53.1
1370.87156114,-52.8
1364.87785186,-57.02
1360.49053184,-57.4
1355.86563904,-56.1
1353.78220834,-56.71
1350.07491554,-53.64
1346.36325026,-53.19
1342.41481496,-57.28
1335.90074936,-56.01
1335.43494656,-54.74
1331.0064125,-53.08
1327.505846,-52.02
1322.13084674,-54.08
1319.55700096,-55.5
1315.809536,-56.86
1312.05769856,-55.78
1308.30148864,-56.43
1303.12956056,-55.92
1296.77089586,-55.89
1293.23292416,-56.14
1289.69110946,-56.11
1286.3819485,-55.11
1282.12239394,-55.92
1278.33147746,-54.76
1275.24813824,-54.47
1271.21172386,-54.52
1267.4082365,-55.67
1263.838496,-54.96
1259.78814434,-55.26
1255.73285656,-56.43
1251.911606,-56.85
1245.9321485,-57.17
1241.62032914,-56.66
1236.3428125,-56.48
1230.81656984,-53.71
1225.522144,-54.54
1219.73697856,-54.55
1216.84070656,-54.65
1211.52448664,-55.59
1207.65295256,-57.25
1204.26177344,-55.74
1200.38204096,-55.6
1196.01211544,-55.25
1192.12309144,-54.82
1187.74271296,-54.11
1178.72122274,-54.07
1173.10148416,-55.64
1171.87860626,-55.7
1167.71762744,-55.96
1163.5517125,-54.07
1159.62634226,-54.13
1157.17076546,-55.53
1152.25448786,-55.68
1147.33137826,-56.19
1142.648096,-54.47
1138.9464125,-56.15
1134.99371426,-57.04
1130.54170226,-57.65
1126.5797125,-57.26
1122.61335026,-56.38
1118.14596626,-55.76
1113.92168896,-56.73
1110.4391659999999,-55.56
1104.95986624,-53.63
1099.97151104,-55.76
1097.974256,-55.08
1093.97646656,-53.29
1089.97430464,-53.99
1085.96777024,-55.36
1081.45519256,-56.73
1076.93708096,-55.34
1072.66489426,-54.99
1068.63950354,-55.7
1064.60974034,-57.08
1060.57560466,-54.67
1055.274166,-54.51
1047.687616,-54.61
1042.36788466,-55.82
1036.78675394,-55.87
1035.26319266,-54.43
1030.94309656,-54.94
1026.87261464,-54.12
1022.79776024,-55.45
1015.9115285,-55.1
1009.26857426,-53.23
1006.9664,-55.23
1002.87022976,-55
998.76968704,-54.55
996.46121026,-54.7
992.8674965,-54.93
988.24208834,-55.65
983.61114626,-54.57
976.138544,-55.08
970.976656,-55.2
968.65157746,-56.12
963.99726994,-55.99
958.56025024,-56.56
951.81826616,-55.87
945.32470066,-56.96
942.72428546,-56.01
937.51833106,-54.8
932.56634624,-55.39
927.34706944,-55.55
922.12096064,-55.55
916.36435,-54.23
911.91039794,-56.33
907.97634104,-57.32
903.2504,-56.88
899.04491776,-56.64
896.94053696,-55.98
892.99187666,-55.28
889.30299314,-54.86
884.29129664,-55.25
880.06613824,-55.78
875.5721165,-52.29
871.33793986,-53.35
867.09939074,-53.67
862.85646914,-53.67
858.343574,-54.53
854.09163416,-55.04
849.83532184,-54.25
845.57463704,-55.24
840.77614016,-55.33
835.97210936,-53.24
833.0335885,-53.19
825.54439154,-54.98
820.45481024,-53.98
815.627414,-54.25
811.6003565,-53.51
807.30059266,-55.28
801.91973906,-55.53
797.61013714,-53.38
794.105366,-54.24
790.0578125,-56.47
785.73618626,-55.64
780.86913026,-54.19
773.55817016,-56.42
767.32049426,-55.9
762.9759125,-54.28
758.62695826,-56.38
753.72915826,-55.72
749.09837696,-53.89
744.46265954,-54.97
740.36822144,-53.79
734.356094,-55.82
726.69233944,-55.49
721.75856896,-54.68
716.81926456,-53.26
712.97375744,-53.99
707.74950034,-56.06
703.34534354,-54.6
698.38544066,-54.34
694.24796096,-55.58
689.27791256,-55.97
684.30233024,-54.58
679.59808786,-53.1
674.88890936,-55.26
669.6198685,-57.25
665.455744,-56.11
660.45372184,-55.9
655.44616576,-56.73
643.74034744,-54.12
639.27306296,-54.58
635.08101266,-54.8
630.6052565,-56.7
625.0044125,-55.43
620.799296,-55.22
616.5903365,-54.8
611.53451234,-54.54
607.03580066,-54.97
603.9404,-56.49
599.15253394,-55.22
594.35973176,-54.09
590.12668946,-54.43
585.6072085,-54.92
580.80046904,-52.9
575.98879346,-53.55
570.038144,-56.21
566.06685976000006,-55.24
560.95600384,-55.14
555.839614,-54.98
551.00238674,-54.26
545.8752365,-53.64
541.02784664,-53.6
536.17552066,-54.51
532.74737746,-55.14
527.314454,-56.22
521.87536466,-56.02
517.2902965,-54.56
513.27477506,-55.46
507.245216,-56.34
501.495776,-54.15
497.1792125,-53.21
492.858806,-55.61
487.95769954,-55.9
483.05165696,-55.38
478.429696,-54.48
473.51407154,-54.61
468.3039125,-56.48
463.957886,-56.59
458.73758144,-55.21
453.8022125,-55.52
448.86190744,-56.11
443.625616,-56.7
438.09241586,-54.87
433.71974456,-52.78
428.75940466,-55.33
423.79412864,-55.72
